,Year,LeapYear
0,1900,False
1,1901,False
2,1902,False
3,1903,False
4,1904,True
5,1905,False
6,1906,False
7,1907,False
8,1908,True
9,1909,False
10,1910,False
11,1911,False
12,1912,True
13,1913,False
14,1914,False
15,1915,False
16,1916,True
17,1917,False
18,1918,False
19,1919,False
20,1920,True
21,1921,False
22,1922,False
23,1923,False
24,1924,True
25,1925,False
26,1926,False
27,1927,False
28,1928,True
29,1929,False
30,1930,False
31,1931,False
32,1932,True
33,1933,False
34,1934,False
35,1935,False
36,1936,True
37,1937,False
38,1938,False
39,1939,False
40,1940,True
41,1941,False
42,1942,False
43,1943,False
44,1944,True
45,1945,False
46,1946,False
47,1947,False
48,1948,True
49,1949,False
50,1950,False
51,1951,False
52,1952,True
53,1953,False
54,1954,False
55,1955,False
56,1956,True
57,1957,False
58,1958,False
59,1959,False
60,1960,True
61,1961,False
62,1962,False
63,1963,False
64,1964,True
65,1965,False
66,1966,False
67,1967,False
68,1968,True
69,1969,False
70,1970,False
71,1971,False
72,1972,True
73,1973,False
74,1974,False
75,1975,False
76,1976,True
77,1977,False
78,1978,False
79,1979,False
80,1980,True
81,1981,False
82,1982,False
83,1983,False
84,1984,True
85,1985,False
86,1986,False
87,1987,False
88,1988,True
89,1989,False
90,1990,False
91,1991,False
92,1992,True
93,1993,False
94,1994,False
95,1995,False
96,1996,True
97,1997,False
98,1998,False
99,1999,False
100,2000,True
101,2001,False
102,2002,False
103,2003,False
104,2004,True
105,2005,False
106,2006,False
107,2007,False
108,2008,True
109,2009,False
110,2010,False
111,2011,False
112,2012,True
113,2013,False
114,2014,False
115,2015,False
116,2016,True
117,2017,False
118,2018,False
119,2019,False
120,2020,True
121,2021,False
122,2022,False
123,2023,False
124,2024,True
125,2025,False
126,2026,False
127,2027,False
128,2028,True
129,2029,False
130,2030,False
